id,name,aliases
135,"90/90 Hip Rotation","90-90 Hip Switch"
106,"Ab Wheel Rollout","Rollout"
238,"Active Hang","Engaged Hang"
137,"Adductor Rockback","Adductor Rock Back"
30,"Arnold Press","Arnold Shoulder Press"
147,"Assisted Dip","Dip Machine"
146,"Assisted Pull-Up","Assisted Chin/Pull-Up"
80,"Back Extension","Hyperextension"
54,"Back Squat","Barbell Back Squat"
124,"Band Pull-Apart","Pull Apart"
241,"Battle Rope Slams","Rope Slams"
240,"Battle Rope Waves","Rope Waves"
178,"Bear Crawl","Bear Walk"
59,"Belt Squat","Hip Belt Squat"
53,"Bench Dip","Chair Dip"
1,"Bench Press","Chest Press"
13,"Bent-Over Row","Barbell Row; Bent Row"
39,"Biceps Curl","Curl; Arm Curl"
216,"Bicycle Crunch","Bicycles"
243,"Bike Sprint","Cycling Sprint"
97,"Bird Dog","Quadruped Opposite Reach"
193,"Block Pull","Elevated Deadlift"
114,"Box Jump","Jump to Box"
198,"Box Squat","Squat to Box"
116,"Broad Jump","Standing Long Jump"
209,"B-Stance Hip Thrust","Kickstand Hip Thrust"
208,"B-Stance Romanian Deadlift","Kickstand RDL"
61,"Bulgarian Split Squat","Rear-Foot-Elevated Split Squat; RFESS"
99,"Cable Chop","Wood Chop; Woodchop"
102,"Cable Crunch","Kneeling Cable Crunch"
165,"Cable Deadlift","Cable Hinge"
158,"Cable External Rotation","External Rotation Cable"
154,"Cable Front Raise","Single-Arm Cable Front Raise"
161,"Cable Hip Abduction","Standing Hip Abduction"
162,"Cable Hip Adduction","Standing Hip Adduction"
160,"Cable Hip Flexion","Standing Hip Flexion"
159,"Cable Internal Rotation","Internal Rotation Cable"
153,"Cable Lateral Raise","Single-Arm Cable Lateral Raise"
163,"Cable Leg Curl","Standing Cable Leg Curl"
164,"Cable Leg Extension","Cable Knee Extension"
100,"Cable Lift","Low-to-High Chop"
79,"Cable Pull-Through","Pull Through"
155,"Cable Reverse Fly","Cable Rear Delt Fly"
156,"Cable Row to Neck","High Rope Row"
166,"Cable Squat","Cable Goblet Squat"
157,"Cable Y Raise","Cable Y"
211,"Calf Press","Leg Press Calf Raise"
133,"Calf Stretch","Gastrocnemius Stretch"
139,"Cat-Cow","Cat Camel"
4,"Chest Fly","Fly; Pec Fly"
15,"Chest-Supported Row","Supported Row"
229,"Child's Pose","Child Pose"
24,"Chin-Up","Chinup"
89,"Clamshell","Clam Shell"
51,"Close-Grip Press","Close-Grip Bench Press"
21,"Close-Grip Pulldown","Neutral-Grip Pulldown"
43,"Concentration Curl","Concentration Biceps Curl"
131,"Copenhagen Plank","Copenhagen Hold"
224,"Cossack Squat","Cossack"
