logged_name,current_catalog_id,set_rows,user_count,new_exercise_id,new_exercise_name,equipment_used,match_status,match_note
Trap Bar Deadlift,fad7f615-f810-4630-aa7d-3a729e4f21b3,67,2,72,Trap Bar Deadlift,,auto,exact name
Overhead Press,74bf2743-8d76-4763-be3c-be35b5f48df2,56,2,29,Overhead Press,,auto,exact name
Deadlift,d1b24f14-8666-48ac-bb89-f5899dda38e7,44,3,71,Deadlift,,auto,exact name
Front Barbell Squat,c5239bdc-4113-49dd-9fa7-8308217a7c00,42,2,55,Front Squat,,auto,same movement
Leverage Incline Chest Press,be99a500-40c1-4bad-a685-6db64152721b,40,2,2,Incline Press,machine,approved,canvas: Incline Press with machine
Dumbbell Lunges,469aa1d9-c453-4b97-9ffb-7425fd2c1067,38,2,62,Lunge,,auto,dumbbell is compatible equipment
Pullups,7a85d3a8-3a45-4382-b6a5-dc00d95f8436,37,2,23,Pull-Up,,auto,alias Pullup
Leg Press,bbb9c0b7-5630-42b1-8758-45f86cf07ff1,34,2,58,Leg Press,,auto,exact name
Bulgarian Split Squat,8e52e739-bdeb-4562-823f-f5d8c2bf190b,32,3,61,Bulgarian Split Squat,,auto,exact name
Incline DB Press,c11fddf6-f000-40a2-8007-77dbe234617c,28,2,2,Incline Press,,auto,dumbbell is compatible equipment
B1 KB Swings,,27,2,113,Kettlebell Swing,,auto,stripped circuit prefix B1
Dumbbell One Arm Bent-over Row,234420d2-b111-44e5-88ab-28786b806574,27,2,14,One-Arm Row,,auto,same movement
Hanging Leg Raise,59ccfd55-1093-4a9a-ab64-d74dca22cc47,27,2,105,Hanging Leg Raise,,auto,exact name
Seated Leg Curl,a9460a73-a9ee-47c4-b755-a65480f3df56,27,2,82,Leg Curl,machine,approved,canvas: Leg Curl; seated is equipment
Barbell Full Squat,ae119c20-7b27-47b2-b37c-41c7caf7d260,24,3,54,Back Squat,barbell,approved,canvas: Back Squat with barbell
Push Press,14837e1c-32d4-4f06-98c6-f33d3984c8ec,24,1,31,Push Press,,auto,exact name
Hip Thrust,2d5759ad-6b84-45a2-a31b-26dbe6c63cd1,23,2,77,Hip Thrust,,auto,exact name
Kettlebell Swing,8f62160f-efb7-46a8-a2db-1493bc03fda4,21,3,113,Kettlebell Swing,,auto,exact name
Front Squat,42b71f10-9b43-4b5d-ad94-e0438e19ddee,20,2,55,Front Squat,,auto,exact name
Plank,56f33292-1fab-4e04-9695-5a5eaa3663fe,20,2,94,Plank,,auto,exact name
Tricep Pushdown,e659a393-8bb1-42a0-9dcf-5ef557aca9e6,20,3,48,Triceps Pushdown,,auto,same movement
Good Morning,61198b81-af1b-4f4c-b6a6-ab4387e43e98,19,2,76,Good Morning,,auto,exact name
