logged_name,current_catalog_name,current_catalog_id,external_source,external_id,muscle_group,equipment,movement_pattern,set_rows,completed_sets,user_count,first_logged,last_logged,new_exercise_id,new_exercise_name
Trap Bar Deadlift,Trap Bar Deadlift,fad7f615-f810-4630-aa7d-3a729e4f21b3,null,null,Full Body,trap bar,hinge,67,65,2,2026-07-01,2026-08-03,,
Overhead Press,Overhead Press,74bf2743-8d76-4763-be3c-be35b5f48df2,null,null,Shoulders,barbell,push_horizontal,56,55,2,2026-07-07,2026-09-17,,
Deadlift,Deadlift,d1b24f14-8666-48ac-bb89-f5899dda38e7,null,null,Full Body,barbell,hinge,44,42,3,2026-07-31,2026-09-17,,
Front Barbell Squat,Front Barbell Squat,c5239bdc-4113-49dd-9fa7-8308217a7c00,free_exercise_db,Front_Barbell_Squat,Quads,barbell,squat,42,42,2,2026-07-10,2026-08-07,,
Leverage Incline Chest Press,Leverage Incline Chest Press,be99a500-40c1-4bad-a685-6db64152721b,free_exercise_db,Leverage_Incline_Chest_Press,Chest,machine,push_horizontal,40,40,2,2026-07-09,2026-08-07,,
Dumbbell Lunges,Dumbbell Lunges,469aa1d9-c453-4b97-9ffb-7425fd2c1067,free_exercise_db,Dumbbell_Lunges,Quads,dumbbell,squat,38,37,2,2026-07-13,2026-08-03,,
Pullups,Pullups,7a85d3a8-3a45-4382-b6a5-dc00d95f8436,free_exercise_db,Pullups,Lats,bodyweight,pull_horizontal,37,36,2,2026-07-15,2026-09-19,,
Leg Press,Leg Press,bbb9c0b7-5630-42b1-8758-45f86cf07ff1,free_exercise_db,Leg_Press,Quads,machine,squat,34,33,2,2026-07-13,2026-08-03,,
Bulgarian Split Squat,Bulgarian Split Squat,8e52e739-bdeb-4562-823f-f5d8c2bf190b,null,null,Quads,dumbbell,squat,32,30,3,2026-08-14,2026-09-19,,
Incline DB Press,Incline DB Press,c11fddf6-f000-40a2-8007-77dbe234617c,null,null,Upper Chest,dumbbell,push_horizontal,28,28,2,2026-07-07,2026-08-05,,
B1 KB Swings,null,null,null,null,null,null,null,27,27,2,2026-07-13,2026-08-03,,
Dumbbell One Arm Bent-over Row,Dumbbell One Arm Bent-over Row,234420d2-b111-44e5-88ab-28786b806574,exercisedb,C0MA9bC,Upper Back,dumbbell,pull_horizontal,27,26,2,2026-07-17,2026-09-14,,
Hanging Leg Raise,Hanging Leg Raise,59ccfd55-1093-4a9a-ab64-d74dca22cc47,free_exercise_db,Hanging_Leg_Raise,Core,bodyweight,isolation,27,27,2,2026-07-13,2026-08-03,,
Seated Leg Curl,Seated Leg Curl,a9460a73-a9ee-47c4-b755-a65480f3df56,null,null,Hamstrings,machine,isolation,27,27,2,2026-07-13,2026-08-03,,
Barbell Full Squat,Barbell Full Squat,ae119c20-7b27-47b2-b37c-41c7caf7d260,exercisedb,qXTaZnJ,Glutes,barbell,squat,24,24,3,2026-08-03,2026-08-24,,
Push Press,Push Press,14837e1c-32d4-4f06-98c6-f33d3984c8ec,free_exercise_db,Push_Press,Shoulders,barbell,push_vertical,24,23,1,2026-08-03,2026-08-24,,
Hip Thrust,Hip Thrust,2d5759ad-6b84-45a2-a31b-26dbe6c63cd1,null,null,Glutes,Machine,null,23,21,2,2026-08-14,2026-09-14,,
Kettlebell Swing,Kettlebell Swing,8f62160f-efb7-46a8-a2db-1493bc03fda4,exercisedb,UHJlbu3,Glutes,kettlebell,hinge,21,21,3,2026-08-06,2026-09-17,,
Front Squat,Front Squat,42b71f10-9b43-4b5d-ad94-e0438e19ddee,null,null,Quads,barbell,squat,20,20,2,2026-07-03,2026-07-09,,
Plank,Plank,56f33292-1fab-4e04-9695-5a5eaa3663fe,null,null,Core,bodyweight,isolation,20,16,2,2026-07-09,2026-08-07,,
Tricep Pushdown,Tricep Pushdown,e659a393-8bb1-42a0-9dcf-5ef557aca9e6,null,null,Triceps,cable,isolation,20,19,3,2026-07-07,2026-09-17,,
Good Morning,Good Morning,61198b81-af1b-4f4c-b6a6-ab4387e43e98,free_exercise_db,Good_Morning,Hamstrings,barbell,hinge,19,18,2,2026-08-10,2026-08-24,,
Calf Press On The Leg Press Machine,Calf Press On The Leg Press Machine,c7107399-6add-46df-b833-252067cce783,free_exercise_db,Calf_Press_On_The_Leg_Press_Machine,Calves,machine,isolation,18,18,2,2026-07-13,2026-07-27,,
Diamond Push-up,Diamond Push-up,1552463e-102c-4e3e-a885-68f1d15f1a2b,exercisedb,soIB2rj,Triceps,bodyweight,push_horizontal,18,18,1,2026-08-03,2026-08-24,,
Dumbbell Fly,Dumbbell Fly,ae89d44d-fb7d-4c79-88b1-0b25d262499a,exercisedb,yz9nUhF,Pectorals,dumbbell,isolation,18,18,1,2026-08-03,2026-08-24,,
